Date,operating_hours,idle_hours,total_fuel,gal_hour,Shovel
2024-06-05,0.0,0.0,0.0,,KOM 390-9
2024-06-05,8.0,1.9,68.4,6.8,KOM 390-4
2024-06-05,8.2,1.0,90.2,9.6,KOM 390-10
2024-06-06,0.4,0.0,4.6,9.3,KOM 390-10
2024-06-06,0.0,0.0,0.0,,KOM 390-9
2024-06-06,5.4,1.4,46.3,6.7,KOM 390-4
2024-06-07,1.8,1.2,15.8,5.0,KOM 390-10
2024-06-07,7.0,1.3,57.6,6.9,KOM 390-4
2024-06-07,0.0,0.0,0.0,,KOM 390-9
2024-06-08,4.3,2.4,36.5,5.4,KOM 390-4
2024-06-08,0.0,0.0,0.0,,KOM 390-10
2024-06-08,0.0,0.0,0.0,,KOM 390-9
2024-06-09,0.6,0.6,4.8,3.8,KOM 390-10
2024-06-09,6.6,1.5,57.1,6.9,KOM 390-4
2024-06-09,0.0,0.1,0.3,2.5,KOM 390-9
2024-06-10,0.0,0.0,0.0,,KOM 390-9
2024-06-10,5.7,1.8,45.3,6.0,KOM 390-4
2024-06-10,0.0,0.0,0.0,,KOM 390-10
2024-06-11,0.0,0.0,0.0,,KOM 390-10
2024-06-11,2.2,0.9,20.1,6.2,KOM 390-9
2024-06-11,6.2,1.5,56.3,7.2,KOM 390-4
2024-06-12,10.2,1.6,93.8,7.9,KOM 390-9
2024-06-12,9.1,1.2,83.8,8.1,KOM 390-4
2024-06-12,0.0,0.0,0.0,,KOM 390-10
2024-06-13,8.4,1.0,79.8,8.4,KOM 390-4
2024-06-13,0.0,0.0,0.0,,KOM 390-10
2024-06-13,8.1,1.3,71.9,7.6,KOM 390-9
2024-06-14,7.0,1.2,67.4,8.2,KOM 390-4
2024-06-14,11.7,1.7,110.7,8.2,KOM 390-9
2024-06-14,0.0,0.5,0.6,1.2,KOM 390-10
2024-06-15,5.6,1.8,52.7,6.9,KOM 390-9
2024-06-15,8.3,1.4,80.4,8.3,KOM 390-4
2024-06-15,0.0,0.0,0.0,,KOM 390-10
2024-06-16,5.8,1.4,52.6,7.2,KOM 390-9
2024-06-16,5.8,2.5,55.7,6.6,KOM 390-4
2024-06-16,0.0,0.0,0.0,,KOM 390-10
2024-06-17,8.4,2.3,77.0,7.2,KOM 390-9
2024-06-17,0.0,0.0,0.0,,KOM 390-10
2024-06-17,9.0,0.3,83.2,8.8,KOM 390-4
2024-06-18,8.7,1.1,81.3,8.2,KOM 390-9
2024-06-18,0.0,0.0,0.0,1.2,KOM 390-10
2024-06-18,8.9,0.7,82.2,8.5,KOM 390-4
2024-06-19,7.2,1.2,75.8,8.9,KOM 390-10
2024-06-19,11.4,1.4,109.6,8.5,KOM 390-9
2024-06-19,0.8,0.4,3.8,2.7,KOM 390-4
2024-06-20,7.9,1.5,75.4,7.9,KOM 390-9
2024-06-20,8.5,1.5,87.0,8.6,KOM 390-10
2024-06-20,5.3,0.9,43.0,6.8,KOM 390-4
2024-06-21,8.5,0.8,81.2,8.7,KOM 390-10
2024-06-21,0.0,0.0,0.0,,KOM 390-4
2024-06-21,8.1,1.3,75.3,8.0,KOM 390-9
2024-06-22,7.5,2.0,70.5,7.4,KOM 390-9
2024-06-22,0.0,0.0,0.1,3.5,KOM 390-4
2024-06-22,8.3,1.0,86.5,9.2,KOM 390-10
2024-07-01,8.8,1.1,74.1,7.4,KOM 390-9
2024-07-01,7.4,1.9,75.2,8.0,KOM 390-10
2024-07-01,9.0,0.9,83.3,8.3,KOM 390-4
2024-07-02,7.9,1.2,73.8,8.0,KOM 390-4
2024-07-02,6.7,2.7,70.7,7.4,KOM 390-10
2024-07-02,6.7,1.6,59.3,7.1,KOM 390-9
2024-07-03,8.4,0.9,87.3,9.3,KOM 390-10
2024-07-03,7.6,1.7,73.3,7.8,KOM 390-4
2024-07-03,6.1,1.3,49.6,6.6,KOM 390-9
2024-07-04,7.0,0.8,70.2,8.8,KOM 390-10
2024-07-04,5.4,1.6,39.9,5.6,KOM 390-9
2024-07-04,6.4,0.7,62.3,8.7,KOM 390-4
2024-07-05,4.5,1.2,45.1,7.7,KOM 390-10
2024-07-05,4.6,1.0,45.1,8.0,KOM 390-4
2024-07-05,3.6,0.5,33.9,8.0,KOM 390-9
2024-07-06,5.3,0.8,47.9,7.8,KOM 390-9
2024-07-06,8.5,0.6,88.7,9.7,KOM 390-10
2024-07-06,7.9,0.6,76.6,9.0,KOM 390-4
2024-07-07,4.0,0.2,36.6,8.6,KOM 390-9
2024-07-07,8.2,0.7,81.1,9.1,KOM 390-10
2024-07-07,8.0,1.0,78.7,8.7,KOM 390-4
2024-07-08,8.7,0.6,91.1,9.7,KOM 390-10
2024-07-08,3.6,0.7,31.0,7.0,KOM 390-9
2024-07-08,8.6,0.9,81.4,8.5,KOM 390-4
2024-07-09,8.6,0.8,89.3,9.4,KOM 390-10
2024-07-09,8.4,1.0,82.8,8.7,KOM 390-4
2024-07-09,6.1,2.6,52.2,5.9,KOM 390-9
2024-07-10,8.5,0.8,87.4,9.3,KOM 390-10
2024-07-10,8.6,0.8,82.7,8.7,KOM 390-4
2024-07-10,3.8,2.7,25.7,3.9,KOM 390-9
2024-07-11,7.4,1.7,67.4,7.3,KOM 390-4
2024-07-11,8.0,1.0,79.3,8.7,KOM 390-10
2024-07-11,2.7,1.0,23.0,6.1,KOM 390-9
2024-07-12,4.5,0.6,42.9,8.2,KOM 390-4
2024-07-12,8.6,0.8,82.4,8.7,KOM 390-10
2024-07-12,4.0,2.1,33.5,5.4,KOM 390-9
2024-07-13,8.7,0.6,92.4,9.8,KOM 390-10
2024-07-13,2.8,1.1,16.7,4.2,KOM 390-4
2024-07-13,7.3,1.5,64.8,7.2,KOM 390-9
2024-07-14,8.3,1.0,84.9,9.1,KOM 390-10
2024-07-14,4.6,0.6,37.8,7.1,KOM 390-9
2024-07-14,3.5,1.2,22.6,4.8,KOM 390-4
2024-07-15,8.2,1.0,87.5,9.5,KOM 390-10
2024-07-15,1.4,0.9,6.3,2.7,KOM 390-4
2024-07-15,3.9,1.2,33.4,6.4,KOM 390-9
2024-07-16,8.8,1.8,88.0,8.2,KOM 390-10
2024-07-16,1.8,0.2,8.0,3.9,KOM 390-4
2024-07-16,6.3,1.2,55.4,7.3,KOM 390-9
2024-07-17,1.4,0.8,9.6,4.1,KOM 390-4
2024-07-17,6.9,0.3,75.4,10.3,KOM 390-10
2024-07-17,4.5,1.4,40.5,6.8,KOM 390-9
2024-07-18,8.1,1.0,82.7,9.0,KOM 390-9
2024-07-18,0.0,0.0,0.0,0.0,KOM 390-4
2024-07-18,5.6,0.6,52.4,8.3,KOM 390-10
2024-07-19,8.4,0.7,90.3,9.7,KOM 390-10
2024-07-19,8.6,2.6,71.9,6.3,KOM 390-4
2024-07-19,9.0,0.6,93.2,9.7,KOM 390-9
2024-07-20,8.9,0.4,94.0,10.0,KOM 390-9
2024-07-20,8.5,0.8,90.7,9.7,KOM 390-10
2024-07-20,8.0,1.3,63.6,6.8,KOM 390-4
2024-07-21,7.4,0.8,80.4,9.7,KOM 390-10
