,Date,machine_hours,idle_percentage,operating_percentage,total_fuel,gal_hour,Shovel
1351,2024-04-22,0.0,,,0.0,,CAT 349-6
1352,2024-04-21,1.041,48.0,52.0,7.9999,7.6848,CAT 349-6
1353,2024-04-20,3.286,26.0,74.0,27.8749,8.4829,CAT 349-6
1354,2024-04-19,7.194,28.0,72.0,65.6248,9.1221,CAT 349-6
1355,2024-04-18,5.911,19.0,81.0,60.6251,10.2563,CAT 349-6
1356,2024-04-17,8.338,14.0,86.0,88.5,10.6141,CAT 349-6
1357,2024-04-16,9.299,11.0,89.0,101.4999,10.9151,CAT 349-6
1358,2024-04-15,3.568,31.0,69.0,31.4999,8.8284,CAT 349-6
1359,2024-04-14,13.339,20.0,80.0,179.4999,13.4568,CAT 349-6
1360,2024-04-13,20.408,8.0,92.0,213.125,10.4432,CAT 349-6
1361,2024-04-12,18.837,8.0,92.0,206.4998,10.9625,CAT 349-6
1362,2024-04-11,18.856,8.0,92.0,204.4998,10.8453,CAT 349-6
1363,2024-04-10,19.727,9.0,91.0,207.5,10.5186,CAT 349-6
1364,2024-04-09,19.206,11.0,89.0,201.4998,10.4915,CAT 349-6
1365,2024-04-08,13.605,10.0,90.0,102.3748,7.5248,CAT 349-6
1366,2024-04-07,10.751,15.0,85.0,154.375,14.3591,CAT 349-6
1367,2024-04-06,17.833,9.0,91.0,195.6249,10.9698,CAT 349-6
1368,2024-04-05,18.599,,,,,CAT 349-6
1369,2024-04-04,16.344,,,,,CAT 349-6
1370,2024-04-03,19.172,,,,,CAT 349-6
1371,2024-04-02,18.888,,,,,CAT 349-6
1372,2024-04-01,14.271,,,,,CAT 349-6
1373,2024-03-31,13.953,,,,,CAT 349-6
1374,2024-03-30,19.193,,,,,CAT 349-6
1375,2024-03-29,19.297,,,,,CAT 349-6
1376,2024-03-28,19.221,,,,,CAT 349-6
1377,2024-03-27,15.35,,,,,CAT 349-6
1378,2024-03-26,16.356,,,,,CAT 349-6
1379,2024-03-25,13.606,,,,,CAT 349-6
1380,2024-03-24,12.991,,,,,CAT 349-6
1381,2024-03-23,18.875,,,,,CAT 349-6
1382,2024-03-22,19.081,,,,,CAT 349-6
1383,2024-03-21,14.092,,,,,CAT 349-6
1384,2024-03-20,18.495,,,,,CAT 349-6
1385,2024-03-19,19.037,,,,,CAT 349-6
1386,2024-03-18,13.131,,,,,CAT 349-6
1387,2024-03-17,9.55,,,,,CAT 349-6
1388,2024-03-16,7.249,,,,,CAT 349-6
1389,2024-03-15,,,,,,CAT 349-6
1390,2024-03-14,,,,,,CAT 349-6
1391,2024-03-13,,,,,,CAT 349-6
1392,2024-03-12,,,,,,CAT 349-6
1393,2024-03-11,,,,,,CAT 349-6
1394,2024-03-10,,,,,,CAT 349-6
1395,2024-03-09,,,,,,CAT 349-6
1396,2024-03-08,,,,,,CAT 349-6
1397,2024-03-07,,,,,,CAT 349-6
1398,2024-03-06,,,,,,CAT 349-6
1399,2024-03-05,,,,,,CAT 349-6
1400,2024-03-04,,,,,,CAT 349-6
1401,2024-03-03,,,,,,CAT 349-6
1402,2024-03-02,,,,,,CAT 349-6
1403,2024-03-01,,,,,,CAT 349-6
1404,2024-02-29,,,,,,CAT 349-6
1405,2024-02-28,,,,,,CAT 349-6
1406,2024-02-27,,,,,,CAT 349-6
